,Economic Load Dispatch
0,8314.959824720805
1,8314.614163115288
2,8314.193991553597
3,8314.488529847076
4,8315.129595291752
5,8314.358641773246
6,8314.037780681625
7,8314.185585008003
8,8314.54589312653
9,8314.067747338619
10,8314.022225938163
11,8314.43136445565
12,8314.445732460807
13,8314.151650853599
14,8314.035714596657
15,8314.072568142446
16,8315.146461676091
17,8314.789907135728
18,8314.125813555918
19,8314.118948797135
