,......Economic Load Dispatch......
0,1600.0746923887261
1,1600.1655174188365
2,1600.1762631377137
3,1600.0329568580992
4,1600.1957423405863
5,1599.8702665383066
6,1600.2623752688355
7,1600.1461573407892
8,1600.2282393002206
9,1600.0597054926982
10,1600.060369829932
11,1599.9923518413577
12,1600.1396642183086
13,1600.3152858236836
14,1600.1889165943867
15,1600.222940777043
16,1600.0445012671103
17,1600.041343641909
18,1600.161052384331
19,1600.1055888630046
